Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,0.786,0.299,0.722,0.802,0.875,0.967,1.023,1.224,2.778,1.272
5,100.000,0.841,0.266,0.541,0.779,0.862,0.974,1.176,3.292,24.041,1.188
10,100.000,0.772,0.251,0.499,0.783,0.874,1.010,1.117,2.628,14.435,1.295
15,100.000,0.832,0.389,0.753,0.824,0.881,0.952,1.009,1.915,3.921,1.202
20,100.000,0.908,0.377,0.785,0.860,0.939,1.035,1.125,1.859,15.478,1.101
25,100.000,0.806,0.304,0.758,0.826,0.884,0.938,0.986,1.125,1.849,1.241
30,100.000,0.816,0.402,0.751,0.820,0.871,0.942,0.987,1.340,6.763,1.225
35,100.000,0.825,0.359,0.775,0.822,0.874,0.937,0.992,1.149,3.669,1.212
40,100.000,0.600,0.233,0.367,0.449,0.748,0.895,1.208,3.093,5.070,1.666
45,100.000,0.694,0.242,0.429,0.590,0.818,0.904,0.968,4.016,13.477,1.440
50,100.000,0.670,0.214,0.359,0.480,0.769,0.902,1.016,3.199,32.441,1.493
55,100.000,0.581,0.236,0.373,0.509,0.781,0.862,0.920,1.535,2.643,1.721
