Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,315,475,610,677,871,1009,1139,1515,1515
1,100,100.000,250,414,528,624,774,877,924,4442,4442
2,100,100.000,331,442,555,701,760,975,1128,6052,6052
3,100,100.000,254,367,400,453,467,517,719,2644,2644
4,101,101.000,233,334,390,465,517,805,855,1013,1132
5,99,99.000,265,425,578,688,803,919,1078,4943,4943
6,100,100.000,251,396,543,646,798,845,941,7005,7005
7,100,100.000,261,413,602,654,801,950,1026,3687,3687
8,100,100.000,274,364,493,2062,799,2314,13529,42139,42139
9,100,100.000,260,404,524,714,791,896,1083,6449,6449
10,100,100.000,255,405,669,762,864,917,983,10959,10959
11,100,100.000,296,455,675,667,863,983,1045,1316,1316
12,100,100.000,294,440,624,860,856,961,1824,7505,7505
13,101,101.000,281,367,456,781,772,1040,1324,5634,14706
14,99,99.000,264,420,597,650,845,999,1162,1703,1703
15,100,100.000,245,352,453,865,728,1389,1741,17825,17825
16,100,100.000,311,417,575,730,751,923,1244,6783,6783
17,100,100.000,243,417,558,612,829,944,994,1732,1732
18,100,100.000,280,386,534,604,795,851,904,4195,4195
19,101,101.000,248,386,456,575,644,853,921,1314,5180
20,99,99.000,263,439,638,681,837,914,1033,3236,3236
21,101,101.000,257,438,620,687,823,891,938,1637,5949
22,100,100.000,289,404,556,728,794,893,966,10654,10654
23,99,99.000,286,406,524,620,764,919,1011,3984,3984
24,100,100.000,248,372,488,708,845,944,1044,8905,8905
25,100,100.000,268,442,771,989,882,1107,1331,13167,13167
26,100,100.000,277,406,473,593,664,866,945,3151,3151
27,100,100.000,262,374,451,932,709,1602,4860,11357,11357
28,100,100.000,280,422,560,649,799,886,946,3969,3969
29,100,100.000,279,361,466,693,726,928,1557,12477,12477
30,100,100.000,251,441,665,666,848,930,1024,2222,2222
31,100,100.000,239,395,484,594,727,875,979,2949,2949
32,100,100.000,253,368,458,531,649,844,931,1474,1474
33,100,100.000,323,457,599,654,810,904,1033,2864,2864
34,101,101.000,264,363,422,528,528,736,862,2776,4383
35,96,96.000,252,333,373,1264,414,484,1869,56317,56317
36,103,103.000,245,327,365,568,423,648,957,3997,13100
37,101,101.000,229,377,482,605,716,890,961,2105,4572
38,99,99.000,313,416,570,804,832,899,1298,16064,16064
39,101,101.000,254,350,417,505,569,818,884,1494,2515
40,99,99.000,250,440,554,650,801,887,946,3881,3881
41,100,100.000,260,419,570,667,855,906,1238,3015,3015
42,100,100.000,274,433,622,729,844,941,1027,6388,6388
43,100,100.000,269,352,403,473,544,823,861,1012,1012
44,100,100.000,232,342,377,530,530,829,956,4813,4813
45,101,101.000,257,651,792,5329,903,20364,32886,62626,66662
46,100,100.000,641,759,872,1028,1126,1345,1461,5972,5972
47,100,100.000,662,750,878,1043,1170,1319,1417,8400,8400
48,99,99.000,635,729,867,948,1192,1290,1309,2185,2185
49,101,101.000,624,724,792,909,1051,1233,1299,1373,3514
50,100,100.000,635,747,866,939,1162,1260,1305,1374,1374
51,99,99.000,608,769,861,964,1219,1312,1367,1415,1415
52,101,101.000,588,749,864,952,1182,1276,1340,1433,1434
53,99,99.000,658,728,816,919,1139,1255,1353,2022,2022
54,100,100.000,607,743,854,1464,1185,2303,5981,13067,13067
55,100,100.000,613,761,871,959,1182,1305,1380,1603,1603
56,98,98.000,611,738,826,1531,1121,1258,1562,33741,33741
57,102,102.000,461,766,935,1770,1296,2010,6231,13692,23698
58,101,101.000,629,742,856,917,1058,1259,1293,1346,1451
59,99,99.000,586,735,815,905,1065,1267,1330,1502,1502
