Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.800,0.814,0.318,0.713,0.923,0.966,1.033,1.056,1.136,1.136,1.228
5,13.400,0.903,0.359,0.733,0.919,0.976,1.040,1.050,5.025,5.025,1.107
10,14.600,0.860,0.309,0.736,0.948,1.008,1.073,1.084,1.896,1.896,1.162
15,16.000,1.275,0.544,0.917,0.976,1.041,1.259,2.558,16.210,16.210,0.784
20,16.200,1.013,0.563,0.914,0.994,1.065,1.163,1.200,2.807,2.807,0.987
25,15.600,0.910,0.388,0.859,0.925,1.044,1.163,1.215,1.483,1.483,1.099
30,14.400,0.920,0.491,0.881,0.934,0.990,1.061,1.127,1.465,1.465,1.087
35,16.200,0.769,0.318,0.389,0.682,0.930,1.011,1.171,4.440,4.440,1.301
40,15.800,0.638,0.267,0.375,0.454,0.766,0.977,1.060,6.358,6.358,1.569
45,13.000,0.558,0.293,0.352,0.416,0.716,0.944,1.021,1.971,1.971,1.793
50,15.000,1.083,0.297,0.384,0.454,0.913,1.164,2.101,20.964,20.964,0.924
55,17.800,0.719,0.274,0.368,0.582,0.903,1.050,1.171,5.854,5.854,1.390
