Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.400,0.805,0.273,0.727,0.854,0.938,0.998,1.063,1.184,1.184,1.242
5,15.000,0.827,0.373,0.781,0.879,0.931,1.003,1.022,1.163,1.163,1.210
10,13.800,0.769,0.278,0.626,0.863,0.915,0.981,1.025,1.245,1.245,1.300
15,12.200,0.916,0.450,0.872,0.922,0.984,1.044,1.132,1.401,1.401,1.091
20,19.200,0.938,0.388,0.904,0.942,0.993,1.064,1.155,1.398,1.398,1.067
25,14.600,0.891,0.283,0.826,0.920,0.998,1.085,1.185,2.767,2.767,1.122
30,15.800,0.861,0.437,0.833,0.893,0.941,0.996,1.074,1.150,1.150,1.161
35,12.600,0.648,0.286,0.396,0.632,0.885,0.927,0.970,1.050,1.050,1.544
40,15.400,0.548,0.245,0.371,0.474,0.659,0.940,0.956,1.016,1.016,1.824
45,17.400,0.595,0.251,0.379,0.434,0.694,0.883,0.902,4.966,4.966,1.681
50,13.600,0.628,0.315,0.353,0.425,0.829,0.946,1.142,4.509,4.509,1.592
55,12.600,0.629,0.254,0.356,0.482,0.788,0.956,1.003,4.592,4.592,1.591
