Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,0.792,0.265,0.653,0.853,0.943,1.017,1.087,1.344,1.676,1.263
5,100.000,0.836,0.288,0.675,0.884,0.948,1.016,1.070,1.327,5.025,1.197
10,100.000,0.820,0.249,0.684,0.902,0.969,1.036,1.088,1.662,2.960,1.220
15,100.200,0.993,0.386,0.875,0.932,1.014,1.120,1.225,2.036,16.210,1.007
20,100.000,0.976,0.322,0.890,0.952,1.028,1.147,1.287,1.963,4.940,1.025
25,99.800,0.880,0.283,0.804,0.910,1.004,1.124,1.172,1.430,2.767,1.137
30,100.000,0.891,0.395,0.854,0.903,0.959,1.030,1.083,1.228,1.947,1.123
35,100.200,0.723,0.246,0.416,0.702,0.913,1.005,1.075,2.650,6.327,1.382
40,100.000,0.589,0.245,0.357,0.448,0.734,0.966,1.093,2.485,6.358,1.698
45,100.000,0.624,0.246,0.358,0.459,0.754,0.944,1.027,4.392,7.653,1.602
50,100.000,0.803,0.242,0.365,0.458,0.865,1.036,1.318,9.003,20.964,1.246
55,100.000,0.692,0.242,0.362,0.522,0.858,0.970,1.110,5.349,8.997,1.446
