Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,302,495,741,773,901,1202,1410,1926,1949
1,100,100.000,268,449,733,653,782,840,878,1144,1144
2,100,100.000,555,737,777,787,840,899,992,1095,1095
3,100,100.000,246,504,733,677,795,885,917,2154,2154
4,100,100.000,224,370,440,548,577,852,995,3191,3191
5,100,100.000,271,396,486,660,930,1044,1125,3251,3251
6,100,100.000,223,334,380,427,466,612,857,1222,1222
7,100,100.000,253,366,412,813,472,880,2816,11600,11600
8,100,100.000,269,380,426,443,477,512,568,1596,1596
9,100,100.000,220,354,433,493,561,865,935,1130,1130
10,100,100.000,269,354,394,415,442,510,570,1659,1659
11,100,100.000,266,388,483,635,824,1010,1086,3199,3199
12,100,100.000,253,338,402,503,523,831,921,2752,2752
13,100,100.000,255,360,669,617,807,849,930,3198,3198
14,100,100.000,230,382,687,635,814,954,1060,2209,2209
15,100,100.000,217,372,490,664,751,1052,1468,6128,6128
16,100,100.000,275,396,483,2416,897,7408,13791,51343,51343
17,100,100.000,263,354,437,535,643,922,950,2332,2332
18,100,100.000,259,384,530,730,801,892,1184,9201,9201
19,100,100.000,249,369,523,580,778,850,939,1617,1617
20,99,99.000,241,394,685,2470,1051,2443,17928,46859,46859
21,101,101.000,265,383,495,2642,1215,9232,15755,25447,34671
22,100,100.000,236,379,478,723,565,949,1673,16270,16270
23,100,100.000,230,394,478,1905,1221,3946,10860,30890,30890
24,100,100.000,283,373,429,575,819,1009,1082,1724,1724
25,99,99.000,282,379,463,1393,794,2003,4749,36369,36369
26,101,101.000,302,435,567,2897,977,3190,17243,45049,47951
27,100,100.000,250,362,415,530,675,897,994,1973,1973
28,100,100.000,229,376,489,605,812,944,1021,2186,2186
29,100,100.000,293,434,565,929,1038,2198,3092,4834,4834
30,100,100.000,294,390,452,1527,844,2203,9659,24565,24565
31,100,100.000,246,388,446,544,534,704,983,3481,3481
32,100,100.000,270,398,633,1266,873,1194,2964,29188,29188
33,100,100.000,230,364,445,562,735,864,948,2973,2973
34,100,100.000,246,369,436,728,736,1097,1791,9037,9037
35,100,100.000,258,390,482,4638,1354,18757,30394,74572,74572
36,100,100.000,278,427,590,660,863,1025,1141,1308,1308
37,100,100.000,250,380,517,631,782,838,923,7106,7106
38,100,100.000,255,399,480,580,705,928,967,3042,3042
39,100,100.000,262,356,410,506,630,875,929,1005,1005
40,100,100.000,236,350,387,502,458,579,856,5183,5183
41,100,100.000,278,432,493,629,807,943,983,4849,4849
42,100,100.000,301,408,447,508,526,641,720,2723,2723
43,100,100.000,264,367,454,567,649,847,1037,3478,3478
44,100,100.000,225,363,410,454,495,626,720,1816,1816
45,100,100.000,273,372,448,693,549,880,2183,6042,6042
46,100,100.000,249,359,414,461,476,583,839,2797,2797
47,100,100.000,249,361,438,501,515,673,1242,2374,2374
48,100,100.000,248,351,396,410,454,512,636,860,860
49,100,100.000,274,351,393,455,443,544,724,3105,3105
50,100,100.000,251,327,363,379,407,457,513,1218,1218
51,100,100.000,236,333,367,439,414,462,658,4690,4690
52,100,100.000,280,397,563,743,854,1057,1655,4530,4530
53,98,98.000,254,386,431,2894,583,12601,19829,48881,48881
54,102,102.000,613,790,841,1024,907,1177,2237,3435,6792
55,100,100.000,637,778,817,859,860,930,997,2555,2555
56,100,100.000,688,771,808,847,843,906,945,3643,3643
57,100,100.000,526,778,810,830,842,891,944,2564,2564
58,100,100.000,629,754,799,889,843,877,1063,8613,8613
59,100,100.000,671,767,895,1065,1159,1271,1418,7026,7026
