Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.400,1.214,0.389,0.733,1.010,1.400,1.797,1.916,11.706,11.706,0.824
5,15.600,1.017,0.450,0.627,0.926,1.194,1.448,1.617,5.779,5.779,0.983
10,16.400,1.942,0.298,0.509,0.673,1.165,1.515,2.492,49.676,49.676,0.515
15,15.200,1.560,0.952,1.104,1.367,1.941,2.166,2.548,4.889,4.889,0.641
20,11.000,1.312,0.509,1.029,1.200,1.607,1.904,2.057,2.478,2.478,0.762
25,12.600,3.698,0.509,0.965,1.209,1.506,1.829,2.140,86.399,86.399,0.270
30,12.400,1.173,0.344,0.925,1.060,1.554,1.707,1.770,1.851,1.851,0.852
35,13.000,1.790,0.299,0.575,0.914,1.101,1.362,3.294,50.622,50.622,0.559
40,16.000,3.353,0.286,0.979,1.065,1.129,1.224,16.365,60.940,60.940,0.298
45,16.400,2.601,0.366,0.656,0.921,1.031,1.233,3.357,70.644,70.644,0.384
50,15.400,3.757,0.335,0.413,0.868,1.094,1.240,38.014,72.910,72.910,0.266
55,13.400,6.077,0.329,0.444,0.813,1.015,5.055,41.742,108.075,108.075,0.165
