Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.600,0.765,0.320,0.553,0.817,0.964,1.040,1.065,1.271,1.271,1.308
5,14.800,0.838,0.227,0.836,0.886,0.938,0.998,1.087,1.157,1.157,1.193
10,14.200,0.962,0.400,0.860,0.914,1.081,1.158,1.226,2.200,2.200,1.040
15,15.000,0.977,0.575,0.879,0.932,1.008,1.126,1.273,3.057,3.057,1.024
20,16.600,0.884,0.277,0.852,0.911,0.983,1.058,1.118,1.387,1.387,1.132
25,17.400,0.887,0.344,0.814,0.912,0.981,1.133,1.152,1.234,1.234,1.127
30,16.200,1.052,0.535,0.889,0.934,0.993,1.045,1.101,9.678,9.678,0.951
35,12.800,0.884,0.283,0.855,0.922,0.971,1.042,1.097,2.249,2.249,1.131
40,13.000,1.011,0.330,0.836,0.903,0.974,1.050,1.070,8.979,8.979,0.989
45,17.200,0.689,0.207,0.326,0.589,0.868,1.102,1.755,3.336,3.336,1.451
50,13.200,0.683,0.219,0.380,0.479,0.839,1.136,1.483,4.999,4.999,1.464
55,14.800,0.664,0.247,0.380,0.553,0.942,1.166,1.241,1.297,1.297,1.506
