Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,500.000,0.415,0.211,0.291,0.313,0.359,0.531,0.912,2.389,14.312,2.409
5,486.200,0.287,0.194,0.270,0.287,0.298,0.312,0.323,0.395,3.555,3.489
10,499.600,0.292,0.193,0.289,0.295,0.303,0.309,0.312,0.332,1.995,3.423
15,510.800,0.299,0.195,0.287,0.295,0.304,0.310,0.315,0.478,2.464,3.345
20,505.000,0.307,0.200,0.289,0.297,0.305,0.310,0.316,0.598,7.699,3.261
25,493.400,0.296,0.207,0.289,0.297,0.305,0.310,0.313,0.335,2.543,3.381
30,497.800,0.293,0.197,0.286,0.294,0.303,0.309,0.314,0.339,1.081,3.417
35,504.200,0.296,0.194,0.289,0.296,0.305,0.310,0.315,0.339,2.271,3.376
40,501.200,0.372,0.177,0.289,0.297,0.306,0.313,0.331,1.734,20.796,2.690
45,502.600,0.300,0.208,0.292,0.297,0.305,0.310,0.314,0.414,3.088,3.329
50,490.200,0.342,0.204,0.288,0.297,0.306,0.316,0.391,1.536,8.224,2.923
55,489.200,0.309,0.206,0.289,0.297,0.305,0.311,0.318,0.589,7.907,3.240
