Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,0.817,0.303,0.686,0.848,0.936,1.070,1.168,1.667,1.667,1.224
5,14.200,0.866,0.333,0.673,0.871,0.949,1.024,1.127,4.286,4.286,1.154
10,16.400,0.786,0.279,0.637,0.885,0.932,0.987,1.013,1.264,1.264,1.272
15,15.400,0.905,0.386,0.851,0.906,1.005,1.116,1.198,1.314,1.314,1.105
20,13.200,1.017,0.441,0.868,0.948,1.048,1.188,1.500,4.940,4.940,0.984
25,14.600,0.865,0.329,0.747,0.907,1.042,1.141,1.195,1.435,1.435,1.156
30,14.400,0.893,0.618,0.848,0.890,0.940,1.013,1.119,1.947,1.947,1.120
35,13.800,0.713,0.246,0.417,0.737,0.902,1.025,1.048,2.642,2.642,1.402
40,14.600,0.684,0.290,0.355,0.514,0.901,1.026,1.319,4.399,4.399,1.461
45,16.000,0.731,0.254,0.350,0.441,0.793,1.004,1.124,7.653,7.653,1.368
50,16.200,0.884,0.242,0.370,0.468,0.899,0.985,1.036,14.811,14.811,1.131
55,12.000,0.684,0.285,0.367,0.517,0.858,1.013,2.633,3.878,3.878,1.463
