Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,0.688,0.224,0.460,0.726,0.810,0.902,1.033,1.900,3.191,1.453
5,100.000,0.568,0.220,0.362,0.423,0.508,0.881,1.025,3.251,11.600,1.761
10,100.000,0.561,0.230,0.357,0.433,0.761,0.869,0.993,2.209,3.199,1.781
15,100.000,0.985,0.217,0.373,0.479,0.770,0.950,1.638,13.791,51.343,1.015
20,100.000,1.664,0.230,0.384,0.483,0.916,1.947,8.755,29.872,46.859,0.601
25,100.000,1.274,0.229,0.386,0.494,0.848,1.416,2.615,25.149,47.951,0.785
30,100.000,0.926,0.230,0.380,0.459,0.711,1.097,2.023,13.610,29.188,1.080
35,100.000,1.403,0.250,0.390,0.487,0.762,0.980,1.642,30.394,74.572,0.713
40,100.000,0.533,0.225,0.375,0.440,0.544,0.780,0.943,2.723,5.183,1.878
45,100.000,0.505,0.248,0.358,0.410,0.480,0.620,0.860,2.797,6.042,1.982
50,100.000,1.089,0.236,0.362,0.429,0.791,0.976,2.237,19.829,48.881,0.919
55,100.000,0.898,0.526,0.769,0.813,0.859,1.017,1.239,2.564,8.613,1.113
