Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,0.880,0.304,0.428,0.547,0.813,1.077,2.773,8.713,8.713,1.136
5,16.200,0.805,0.310,0.479,0.886,1.026,1.200,1.236,1.731,1.731,1.242
10,18.200,0.933,0.425,0.854,0.939,1.019,1.100,1.229,1.704,1.704,1.072
15,16.000,0.860,0.257,0.808,0.920,0.991,1.086,1.113,1.720,1.720,1.163
20,15.600,0.991,0.675,0.905,0.966,1.042,1.145,1.164,2.816,2.816,1.010
25,15.000,0.956,0.304,0.889,0.971,1.050,1.157,1.219,1.372,1.372,1.046
30,14.600,0.911,0.385,0.883,0.933,0.980,1.045,1.079,1.229,1.229,1.097
35,18.400,0.926,0.321,0.865,0.919,1.057,1.124,1.174,1.302,1.302,1.080
40,14.400,0.781,0.256,0.663,0.877,0.945,0.999,1.034,1.223,1.223,1.281
45,15.000,1.003,0.675,0.884,0.913,0.966,1.007,1.095,6.874,6.874,0.997
50,14.200,0.812,0.238,0.740,0.869,0.958,1.042,1.107,1.339,1.339,1.232
55,18.000,0.792,0.324,0.721,0.868,0.909,0.994,1.045,1.226,1.226,1.263
