Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2001,2001.000,239,365,411,607,525,936,1162,1536,60106
1,2000,2000.000,229,299,316,315,328,345,364,449,2053
2,2000,2000.000,220,288,307,301,317,326,337,393,1121
3,2000,2000.000,215,255,300,458,314,632,1730,3589,6645
4,1999,1999.000,207,280,296,443,359,639,1019,3212,14312
5,2001,2001.000,206,251,287,291,300,321,342,769,2314
6,2000,2000.000,203,267,293,288,305,320,332,395,3555
7,2000,2000.000,199,279,292,287,300,309,316,346,1391
8,2000,2000.000,191,267,280,276,293,300,307,338,2228
9,2000,2000.000,194,272,282,280,291,302,310,345,1168
10,2000,2000.000,192,281,291,289,298,306,312,403,1953
11,2000,2000.000,201,287,295,288,302,309,313,335,662
12,2000,2000.000,201,288,294,293,303,309,313,337,1995
13,2000,2000.000,205,289,295,292,303,308,312,325,578
14,2000,2000.000,194,289,294,292,302,308,312,331,2176
15,2000,2000.000,192,288,295,298,305,310,317,635,1637
16,2000,2000.000,204,287,295,299,304,310,316,419,2552
17,2000,2000.000,195,279,289,298,296,305,312,595,3065
18,2000,2000.000,194,284,293,292,301,309,314,338,2378
19,2000,2000.000,205,287,295,294,304,309,312,335,2365
20,2000,2000.000,202,289,296,294,305,310,315,356,861
21,2000,2000.000,199,289,296,295,304,309,313,338,2342
22,2000,2000.000,205,289,297,344,305,313,417,2047,7699
23,2000,2000.000,189,286,295,316,304,311,322,1436,2874
24,2000,2000.000,205,289,297,292,305,310,314,336,618
25,2000,2000.000,200,287,295,294,304,309,313,332,2479
26,2000,2000.000,205,290,297,293,305,309,312,331,558
27,2000,2000.000,202,290,297,296,305,310,313,334,2543
28,2000,2000.000,206,288,295,292,304,310,314,335,568
29,2000,2000.000,207,288,295,298,304,309,315,361,1860
30,2000,2000.000,206,288,296,295,305,311,315,334,1658
31,2000,2000.000,204,282,287,289,292,302,311,486,1750
32,2000,2000.000,194,282,292,289,301,309,313,337,663
33,2000,2000.000,208,290,296,295,304,309,313,337,666
34,2000,2000.000,204,284,293,288,302,308,312,334,882
35,2000,2000.000,197,288,296,300,304,310,316,560,2271
36,2000,2000.000,205,291,299,296,306,311,316,344,1814
37,2000,2000.000,198,283,292,289,302,309,314,340,650
38,2000,2000.000,203,290,297,295,305,310,313,332,1684
39,2000,2000.000,194,286,294,291,304,309,313,334,1007
40,2000,2000.000,210,289,297,296,305,310,314,332,2154
41,2000,2000.000,204,290,300,617,311,525,1447,10644,36270
42,2000,2000.000,200,286,295,301,304,312,318,384,4838
43,2000,2000.000,208,289,296,294,305,310,315,334,1169
44,2000,2000.000,173,272,292,286,303,310,315,341,1683
45,2000,2000.000,208,291,296,294,304,310,314,336,886
46,2000,2000.000,206,291,297,297,304,310,314,332,1713
47,2000,2000.000,208,290,296,300,304,309,313,343,3721
48,2000,2000.000,204,291,296,297,305,310,314,340,1873
49,2000,2000.000,208,290,296,307,304,311,317,546,3996
50,2000,2000.000,203,290,297,296,306,311,315,332,1922
51,2000,2000.000,192,281,292,289,299,307,313,348,1108
52,2000,2000.000,211,292,299,298,306,311,315,334,1954
53,2000,2000.000,207,288,303,526,324,741,1501,5380,11152
54,2000,2000.000,198,281,292,335,301,314,380,1532,8624
55,2000,2000.000,196,287,296,303,305,312,320,861,1941
56,2000,2000.000,207,286,296,311,305,313,326,587,7907
57,2000,2000.000,207,289,296,295,305,310,313,337,1629
58,2000,2000.000,199,288,296,297,305,311,316,553,1412
59,2000,2000.000,204,287,295,299,302,309,317,564,2469
