Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.800,0.780,0.363,0.700,0.791,0.879,1.013,1.064,2.091,2.091,1.283
5,12.600,0.791,0.290,0.568,0.782,0.838,1.036,1.136,4.732,4.732,1.265
10,15.200,0.726,0.267,0.511,0.776,0.900,0.993,1.271,1.484,1.484,1.377
15,13.800,0.875,0.419,0.790,0.827,0.880,0.989,1.013,3.870,3.870,1.143
20,14.600,0.851,0.526,0.777,0.855,0.919,1.008,1.100,1.376,1.376,1.176
25,13.000,0.839,0.435,0.789,0.833,0.874,0.956,0.996,1.849,1.849,1.192
30,14.200,0.792,0.473,0.749,0.819,0.867,0.902,0.939,1.028,1.028,1.262
35,13.000,0.812,0.473,0.774,0.833,0.869,0.913,0.931,1.017,1.017,1.232
40,15.200,0.684,0.233,0.362,0.441,0.790,0.893,1.419,5.070,5.070,1.461
45,12.600,0.676,0.281,0.431,0.532,0.805,0.890,0.928,4.016,4.016,1.479
50,14.600,0.546,0.262,0.366,0.480,0.705,0.846,0.962,1.330,1.330,1.832
55,16.600,0.573,0.306,0.366,0.506,0.776,0.862,0.934,1.054,1.054,1.746
