Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.800,0.794,0.321,0.714,0.786,0.855,0.976,1.042,2.778,2.778,1.260
5,16.600,0.926,0.319,0.545,0.775,0.854,0.968,1.176,16.569,16.569,1.080
10,14.800,0.733,0.257,0.523,0.790,0.880,1.045,1.180,2.078,2.078,1.365
15,14.400,0.797,0.389,0.742,0.812,0.875,0.947,1.004,1.295,1.295,1.255
20,14.600,0.956,0.488,0.795,0.869,0.952,1.044,1.257,7.046,7.046,1.046
25,13.400,0.788,0.397,0.730,0.816,0.861,0.930,0.967,1.029,1.029,1.269
30,17.000,0.788,0.471,0.735,0.800,0.845,0.890,0.961,1.340,1.340,1.269
35,16.400,0.802,0.430,0.766,0.820,0.859,0.911,0.955,1.129,1.129,1.247
40,13.000,0.578,0.245,0.380,0.447,0.648,0.835,1.333,2.520,2.520,1.731
45,16.400,0.683,0.260,0.454,0.599,0.805,0.920,1.073,2.426,2.426,1.465
50,15.400,1.094,0.235,0.359,0.472,0.693,0.905,1.422,32.441,32.441,0.914
55,14.600,0.589,0.236,0.348,0.568,0.786,0.857,0.902,1.313,1.313,1.696
