Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,283,491,743,1524,972,1193,5971,23260,27374
1,100,100.000,314,681,840,782,917,1002,1073,1453,1453
2,99,99.000,242,499,823,744,933,1057,1183,1392,1392
3,101,101.000,248,521,917,898,1121,1195,1448,2928,4318
4,99,99.000,608,929,1025,1046,1098,1209,1346,3453,3453
5,100,100.000,668,983,1091,1122,1187,1428,1561,2637,2637
6,101,101.000,329,731,924,843,1012,1080,1113,1343,1523
7,99,99.000,308,600,846,819,930,1068,1151,3610,3610
8,100,100.000,672,856,892,897,930,989,1032,1242,1242
9,101,101.000,643,862,914,913,959,1037,1075,1177,1363
10,99,99.000,441,868,921,952,972,1082,1154,4226,4226
11,100,100.000,610,865,910,981,969,1032,1124,5949,5949
12,101,101.000,659,876,926,949,992,1051,1078,1536,1741
13,99,99.000,251,367,703,698,944,1044,1166,2234,2234
14,100,100.000,461,873,941,926,994,1100,1202,1488,1488
15,100,100.000,621,866,941,933,1002,1098,1139,1206,1206
16,100,100.000,672,895,960,968,1030,1137,1202,1395,1395
17,100,100.000,691,911,965,1024,1046,1106,1242,6220,6220
18,100,100.000,675,914,958,970,1041,1124,1160,1428,1428
19,101,101.000,584,891,945,952,1027,1072,1142,1222,2102
20,99,99.000,421,920,1021,1146,1132,1280,1438,8482,8482
21,101,101.000,430,1020,1189,1138,1282,1334,1376,1770,2080
22,100,100.000,849,1231,1347,1428,1503,1676,1768,5051,5051
23,100,100.000,780,1126,1217,1379,1429,1744,1876,4954,4954
24,99,99.000,503,785,950,1097,1114,1351,2015,7440,7440
25,101,101.000,698,904,1001,1038,1116,1259,1307,2103,2218
26,99,99.000,487,768,938,921,1041,1202,1267,1597,1597
27,101,101.000,435,872,933,931,994,1056,1098,1196,1252
28,100,100.000,533,885,944,938,1010,1093,1218,1357,1357
29,99,99.000,597,843,925,919,989,1082,1112,1670,1670
30,101,101.000,677,892,930,936,985,1043,1085,1168,1245
31,99,99.000,640,895,950,954,997,1090,1212,1310,1310
32,100,100.000,486,754,897,859,971,1045,1087,1198,1198
33,101,101.000,580,868,933,922,969,1015,1078,1173,1637
34,99,99.000,617,869,911,916,976,1046,1145,1694,1694
35,100,100.000,289,661,887,788,939,1007,1045,1961,1961
36,100,100.000,263,436,548,626,757,902,986,3793,3793
37,100,100.000,393,568,712,745,903,1020,1083,2058,2058
38,100,100.000,319,450,844,737,939,1001,1028,1223,1223
39,101,101.000,265,361,595,678,901,995,1039,2153,2498
40,98,98.000,300,430,766,3702,2144,11108,21124,56112,56112
41,99,99.000,316,803,4620,9593,15391,24274,30951,70527,70527
42,102,102.000,391,613,743,3265,1134,10970,20329,29248,35219
43,100,100.000,527,963,5220,13059,11799,46196,51097,176277,176277
44,99,99.000,568,978,7583,23022,22736,57309,124013,172189,172189
45,102,102.000,384,737,1431,3863,4039,12159,15188,28592,29386
46,99,99.000,568,835,1156,6257,2730,23013,32917,69804,69804
47,100,100.000,441,781,946,7020,1667,33175,41336,52608,52608
48,100,100.000,401,789,1255,6046,2861,10454,53496,83267,83267
49,101,101.000,628,767,845,1031,1084,1294,1498,3815,7161
50,100,100.000,626,804,949,1278,1058,1388,3601,13250,13250
51,100,100.000,333,597,816,1314,1097,1917,5423,17094,17094
52,99,99.000,268,378,459,1184,660,1747,6090,25130,25130
53,100,100.000,291,434,547,1663,1014,3041,10618,17609,17609
54,100,100.000,292,400,500,3903,980,12735,30101,62476,62476
55,100,100.000,289,443,542,763,789,1164,1589,6583,6583
56,100,100.000,301,522,676,900,969,1430,1900,9484,9484
57,100,100.000,265,383,454,725,549,1417,2922,6718,6718
58,101,101.000,255,379,421,574,553,782,1295,2945,3790
59,99,99.000,302,394,435,691,500,828,1964,7561,7561
