Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.800,0.724,0.237,0.504,0.749,0.897,1.005,1.047,1.916,1.916,1.381
5,16.200,0.794,0.214,0.772,0.851,0.890,0.967,1.021,1.192,1.192,1.259
10,14.600,0.870,0.297,0.802,0.877,1.028,1.105,1.166,1.258,1.258,1.149
15,14.800,1.019,0.423,0.831,0.897,0.971,1.120,1.247,9.344,9.344,0.981
20,12.600,0.862,0.292,0.815,0.882,0.946,1.028,1.039,1.313,1.313,1.160
25,16.000,0.859,0.348,0.823,0.886,0.954,1.003,1.043,1.134,1.134,1.164
30,12.800,0.867,0.519,0.821,0.869,0.926,0.970,1.018,1.200,1.200,1.154
35,17.000,0.807,0.242,0.768,0.856,0.937,0.993,1.019,1.204,1.204,1.238
40,14.400,0.868,0.316,0.784,0.880,0.968,1.093,1.185,1.687,1.687,1.152
45,13.600,0.678,0.206,0.332,0.468,0.855,1.047,1.865,3.993,3.993,1.475
50,16.200,0.584,0.199,0.337,0.402,0.533,1.030,1.193,7.080,7.080,1.712
55,15.600,0.578,0.202,0.351,0.460,0.739,1.034,1.209,1.611,1.611,1.729
