Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.600,1.177,0.480,0.845,1.047,1.520,1.743,1.855,2.550,2.550,0.850
5,15.600,1.476,0.410,0.670,1.189,1.399,1.733,3.825,15.523,15.523,0.677
10,13.600,2.334,0.405,0.522,1.061,1.356,1.578,2.899,48.183,48.183,0.428
15,15.800,1.061,0.314,0.449,0.986,1.227,1.272,1.297,14.397,14.397,0.942
20,19.400,1.674,0.274,0.425,1.012,1.170,1.252,1.303,24.067,24.067,0.597
25,15.000,1.252,0.288,0.492,1.001,1.140,1.202,1.295,29.679,29.679,0.799
30,11.000,1.612,0.336,0.764,1.022,1.176,1.826,7.161,19.361,19.361,0.620
35,16.400,1.582,0.297,0.601,1.053,1.121,1.198,1.372,39.758,39.758,0.632
40,15.800,4.577,0.317,0.895,1.069,1.342,1.763,38.971,81.849,81.849,0.219
45,13.600,1.452,0.283,0.450,0.940,1.111,1.331,3.070,17.890,17.890,0.689
50,16.800,1.501,0.283,0.863,1.038,1.196,1.544,1.651,20.784,20.784,0.666
55,13.400,2.149,0.395,0.850,1.006,1.154,1.513,2.058,35.281,35.281,0.465
