Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,287,490,619,720,783,1029,1162,2588,2615
1,100,100.000,231,472,770,717,944,1011,1099,1187,1187
2,99,99.000,309,829,903,895,972,1060,1116,2549,2549
3,100,100.000,368,594,817,753,892,996,1054,1128,1128
4,100,100.000,343,636,845,786,918,1016,1061,1228,1228
5,100,100.000,183,340,856,714,929,985,1064,1275,1275
6,101,101.000,214,599,844,748,896,938,1024,1122,1157
7,99,99.000,586,824,873,881,939,1022,1102,1292,1292
8,100,100.000,545,825,863,890,915,1006,1087,2188,2188
9,100,100.000,286,819,855,834,901,948,985,1682,1682
10,101,101.000,506,826,877,857,918,948,973,1005,1081
11,99,99.000,325,789,855,808,903,944,982,1097,1097
12,100,100.000,691,857,902,927,979,1073,1136,1618,1618
13,100,100.000,262,563,860,833,1097,1182,1226,2132,2132
14,100,100.000,781,1054,1112,1114,1155,1257,1284,2200,2200
15,101,101.000,368,788,909,926,1005,1186,1265,2917,3057
16,99,99.000,631,836,890,900,939,1045,1120,1434,1434
17,100,100.000,430,846,891,914,983,1075,1198,1439,1439
18,100,100.000,620,843,902,929,966,1073,1103,3233,3233
19,101,101.000,423,840,894,964,951,1008,1122,1219,9344
20,100,100.000,193,433,838,692,904,941,993,1047,1047
21,99,99.000,539,845,881,900,938,1023,1097,1672,1672
22,101,101.000,353,697,851,813,924,965,1008,1217,3089
23,100,100.000,581,832,895,883,950,1028,1058,1164,1164
24,99,99.000,659,864,948,966,1041,1129,1277,1550,1550
25,101,101.000,700,902,962,970,1037,1143,1177,1264,1406
26,100,100.000,247,562,837,748,894,981,1054,2064,2064
27,100,100.000,570,844,886,887,942,1026,1081,1130,1130
28,99,99.000,503,832,880,974,947,1036,1133,6480,6480
29,101,101.000,565,856,910,899,943,979,1013,1152,1177
30,99,99.000,590,833,877,872,928,993,1057,1128,1128
31,100,100.000,337,836,904,964,947,1011,1031,9678,9678
32,100,100.000,638,865,907,912,982,1033,1101,1200,1200
33,100,100.000,460,831,888,946,962,1045,1117,5556,5556
34,101,101.000,479,828,886,876,945,993,1044,1097,1138
35,99,99.000,242,685,852,775,930,997,1031,1083,1083
36,100,100.000,211,381,827,735,920,983,1025,5601,5601
37,101,101.000,532,820,883,866,934,988,1007,1097,1189
38,100,100.000,542,834,879,883,958,1048,1113,1288,1288
39,100,100.000,518,862,901,921,947,1034,1122,2249,2249
40,100,100.000,251,804,878,881,966,1078,1449,2206,2206
41,99,99.000,575,840,903,920,973,1038,1142,2216,2216
42,100,100.000,513,850,889,917,1006,1089,1195,1678,1678
43,101,101.000,537,808,890,887,969,1052,1156,1265,1311
44,99,99.000,257,453,784,911,911,995,1093,12066,12066
45,101,101.000,198,402,814,682,893,1000,1026,1140,1227
46,99,99.000,202,324,554,637,863,944,1389,1829,1829
47,100,100.000,238,387,529,639,855,1026,1122,2421,2421
48,101,101.000,206,302,408,898,589,1685,2534,8038,14445
49,99,99.000,194,327,525,934,1020,1961,3703,8074,8074
50,100,100.000,199,326,463,707,920,1086,1164,7080,7080
51,101,101.000,214,354,390,498,489,859,1030,1479,1654
52,100,100.000,216,325,375,437,452,681,895,2119,2119
53,99,99.000,218,338,403,908,511,1008,4999,14458,14458
54,100,100.000,247,450,687,820,1297,1416,1476,3833,3833
55,101,101.000,228,356,461,574,682,900,1055,2380,3127
56,100,100.000,239,369,450,740,1107,1271,2040,3547,3547
57,100,100.000,194,372,509,686,999,1190,1327,2365,2365
58,99,99.000,217,339,453,667,859,1071,1141,3897,3897
59,99,99.000,294,373,540,723,898,1070,1297,7834,7834
