Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.600,0.863,0.326,0.679,0.855,0.912,1.030,1.574,2.915,2.915,1.158
5,12.800,0.806,0.258,0.607,0.874,0.955,1.015,1.123,1.749,1.749,1.241
10,14.400,0.930,0.635,0.856,0.902,1.009,1.151,1.204,1.462,1.462,1.076
15,15.200,0.877,0.272,0.797,0.894,0.955,1.056,1.104,2.929,2.929,1.141
20,14.200,1.005,0.478,0.826,0.922,1.044,1.265,1.525,3.349,3.349,0.995
25,12.200,0.874,0.388,0.838,0.888,0.935,1.030,1.139,1.189,1.189,1.144
30,14.400,0.867,0.532,0.822,0.868,0.932,1.022,1.166,1.289,1.289,1.154
35,15.600,0.748,0.275,0.662,0.832,0.871,0.935,0.976,1.172,1.172,1.337
40,15.600,0.892,0.390,0.820,0.870,0.908,1.028,1.182,2.777,2.777,1.121
45,15.600,0.954,0.443,0.793,0.889,0.946,1.089,1.223,5.647,5.647,1.048
50,16.200,0.857,0.273,0.800,0.862,0.972,1.120,1.281,1.527,1.527,1.167
55,14.600,0.885,0.342,0.796,0.866,0.928,1.015,1.159,3.537,3.537,1.130
