Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.600,0.684,0.268,0.450,0.723,0.791,0.945,1.131,1.926,1.926,1.462
5,15.600,0.600,0.223,0.347,0.404,0.508,0.820,0.988,10.595,10.595,1.665
10,13.200,0.628,0.257,0.344,0.463,0.791,1.011,1.065,3.199,3.199,1.593
15,12.800,0.796,0.240,0.361,0.442,0.758,0.856,1.536,9.539,9.539,1.257
20,13.800,1.362,0.274,0.387,0.542,1.042,2.161,3.946,17.246,17.246,0.734
25,14.200,0.775,0.319,0.401,0.478,0.864,1.311,1.889,5.749,5.749,1.290
30,17.000,1.424,0.270,0.395,0.486,0.812,1.194,2.964,29.188,29.188,0.702
35,15.200,0.955,0.258,0.382,0.464,0.797,0.972,1.259,18.757,18.757,1.047
40,12.800,0.474,0.291,0.367,0.409,0.505,0.720,0.807,1.460,1.460,2.108
45,12.800,0.462,0.278,0.340,0.409,0.477,0.583,0.914,1.823,1.823,2.165
50,13.200,1.184,0.254,0.359,0.430,0.783,0.938,1.515,28.308,28.308,0.844
55,15.200,0.890,0.637,0.755,0.805,0.872,1.128,1.271,2.564,2.564,1.123
