Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.600,0.554,0.233,0.395,0.478,0.677,0.904,1.018,1.139,1.312,1.805
5,27.200,1.111,0.255,0.398,0.539,0.814,0.896,1.026,23.813,42.139,0.900
10,21.200,0.758,0.281,0.392,0.583,0.832,0.999,1.162,5.634,7.505,1.320
15,29.800,0.797,0.243,0.386,0.505,0.756,0.911,1.444,5.796,17.825,1.255
20,26.200,0.755,0.257,0.388,0.537,0.832,0.946,1.264,5.949,8.905,1.324
25,21.800,0.764,0.262,0.381,0.546,0.807,1.261,2.150,3.969,6.641,1.308
30,25.200,0.628,0.253,0.389,0.502,0.727,0.879,1.003,2.949,4.383,1.593
35,23.600,0.602,0.229,0.330,0.392,0.579,0.840,0.884,2.515,13.100,1.661
40,21.600,0.644,0.232,0.377,0.476,0.803,0.911,0.946,3.472,4.813,1.553
45,23.600,1.981,0.372,0.749,0.848,1.129,1.306,5.972,32.098,32.886,0.505
50,25.800,1.044,0.588,0.752,0.854,1.149,1.307,1.413,5.329,6.885,0.958
55,20.400,1.049,0.618,0.744,0.847,1.104,1.241,1.392,6.231,7.741,0.954
