Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,0.730,0.302,0.446,0.761,0.899,1.022,1.268,1.932,1.932,1.371
5,18.800,0.699,0.312,0.404,0.546,0.874,1.059,1.114,5.903,5.903,1.430
10,14.600,0.715,0.260,0.436,0.807,0.899,1.034,1.119,1.445,1.445,1.399
15,16.800,0.886,0.253,0.839,0.887,0.954,1.067,1.123,1.647,1.647,1.129
20,12.200,0.861,0.550,0.802,0.867,0.932,0.990,1.062,1.554,1.554,1.162
25,17.200,0.851,0.421,0.797,0.854,0.912,1.044,1.087,1.262,1.262,1.176
30,16.800,0.840,0.404,0.796,0.858,0.906,0.974,1.080,1.519,1.519,1.190
35,14.000,0.927,0.295,0.796,0.845,0.910,0.950,1.012,9.413,9.413,1.078
40,16.200,0.806,0.263,0.763,0.842,0.890,0.964,1.021,1.544,1.544,1.240
45,15.800,0.885,0.556,0.812,0.868,0.937,1.050,1.086,1.847,1.847,1.130
50,15.600,0.751,0.298,0.665,0.815,0.859,0.949,1.109,1.133,1.133,1.332
55,14.400,0.783,0.255,0.769,0.813,0.862,0.912,0.955,1.011,1.011,1.277
