Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,0.781,0.299,0.734,0.793,0.854,0.977,0.999,1.248,1.248,1.280
5,15.000,0.733,0.306,0.583,0.770,0.838,0.919,1.011,2.028,2.028,1.364
10,15.400,0.885,0.281,0.456,0.756,0.875,1.011,1.099,14.435,14.435,1.130
15,14.800,0.842,0.481,0.783,0.835,0.869,0.921,0.999,3.681,3.681,1.188
20,16.800,1.031,0.493,0.802,0.861,0.933,1.013,1.076,15.478,15.478,0.970
25,15.000,0.796,0.304,0.746,0.817,0.898,0.944,1.017,1.079,1.079,1.257
30,15.800,0.811,0.481,0.747,0.827,0.884,0.976,1.021,1.496,1.496,1.233
35,15.200,0.813,0.359,0.775,0.821,0.874,0.938,0.992,1.164,1.164,1.230
40,17.200,0.586,0.263,0.368,0.477,0.752,0.876,1.143,2.545,2.545,1.706
45,15.000,0.640,0.275,0.398,0.578,0.829,0.897,0.983,2.605,2.605,1.562
50,14.400,0.576,0.265,0.343,0.489,0.765,0.876,0.956,2.916,2.916,1.736
55,13.400,0.606,0.250,0.405,0.540,0.783,0.836,0.920,2.415,2.415,1.649
