Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.400,0.791,0.259,0.431,0.691,0.888,1.097,1.191,8.667,8.667,1.263
5,14.000,0.707,0.258,0.427,0.540,0.809,0.950,1.078,4.179,4.179,1.415
10,13.200,0.743,0.299,0.504,0.821,0.931,1.046,1.099,1.325,1.325,1.345
15,14.000,0.914,0.287,0.841,0.895,0.976,1.084,1.211,3.127,3.127,1.094
20,16.000,0.874,0.527,0.837,0.870,0.915,0.984,1.035,1.540,1.540,1.144
25,13.400,0.843,0.482,0.798,0.857,0.893,0.966,0.999,1.218,1.218,1.187
30,14.800,0.842,0.433,0.799,0.855,0.918,0.989,1.046,1.083,1.083,1.187
35,14.600,1.183,0.339,0.793,0.845,0.889,0.962,1.014,27.806,27.806,0.845
40,15.200,0.800,0.319,0.771,0.831,0.880,0.938,1.016,1.450,1.450,1.249
45,12.600,0.894,0.548,0.829,0.862,0.900,0.953,1.038,2.757,2.757,1.119
50,17.800,0.726,0.224,0.516,0.805,0.879,0.955,1.060,1.150,1.150,1.377
55,15.000,0.808,0.293,0.775,0.819,0.890,0.946,0.998,1.396,1.396,1.237
