Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.000,0.912,0.322,0.723,0.910,1.108,1.284,1.673,3.190,3.190,1.097
5,16.800,0.870,0.308,0.806,0.887,0.977,1.130,1.177,1.561,1.561,1.150
10,14.400,0.847,0.318,0.796,0.898,0.944,0.999,1.084,1.196,1.196,1.181
15,13.000,1.025,0.638,0.882,0.941,1.020,1.124,1.159,6.220,6.220,0.975
20,15.600,1.198,0.430,0.965,1.138,1.245,1.351,1.576,5.051,5.051,0.834
25,14.200,0.922,0.522,0.834,0.907,0.978,1.142,1.192,1.916,1.916,1.085
30,14.800,0.878,0.490,0.842,0.897,0.946,1.019,1.123,1.168,1.168,1.138
35,14.000,0.690,0.289,0.424,0.688,0.881,0.974,1.083,2.124,2.124,1.448
40,16.800,10.578,0.330,0.691,2.027,13.336,24.011,47.368,176.277,176.277,0.095
45,12.800,5.275,0.384,0.775,1.018,1.562,15.188,27.461,69.804,69.804,0.190
50,11.400,1.952,0.307,0.402,0.583,1.071,5.356,12.735,18.353,18.353,0.512
55,15.200,0.675,0.265,0.418,0.482,0.663,1.211,1.900,4.344,4.344,1.482
