Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,27.400,0.689,0.233,0.474,0.735,0.811,0.882,1.066,1.805,1.900,1.452
5,26.600,0.519,0.232,0.372,0.431,0.491,0.830,0.941,1.201,5.520,1.926
10,26.800,0.589,0.266,0.356,0.435,0.783,0.871,0.937,2.378,3.198,1.698
15,24.000,1.299,0.275,0.381,0.483,0.781,1.032,1.708,13.202,51.343,0.770
20,24.400,1.368,0.279,0.398,0.487,0.874,1.864,5.880,16.019,20.924,0.731
25,28.200,1.366,0.258,0.373,0.482,0.814,1.027,2.615,25.149,47.951,0.732
30,25.400,0.758,0.230,0.364,0.435,0.639,0.949,1.911,9.659,15.257,1.319
35,23.000,1.031,0.258,0.390,0.454,0.721,0.980,2.211,19.062,20.831,0.970
40,30.200,0.561,0.225,0.368,0.440,0.543,0.734,0.948,3.478,4.849,1.783
45,26.200,0.545,0.248,0.357,0.414,0.496,0.651,1.343,3.105,4.912,1.835
50,24.000,1.005,0.286,0.376,0.440,0.813,0.928,2.946,16.401,18.156,0.995
55,25.600,0.908,0.647,0.773,0.820,0.857,0.946,1.099,2.172,8.613,1.101
