Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,246,437,593,696,876,1063,1288,2581,2581
1,100,100.000,189,344,380,467,484,730,838,3015,3015
2,100,100.000,303,487,749,796,990,1130,1222,6578,6578
3,100,100.000,207,486,714,868,955,1178,2153,5423,5423
4,100,100.000,283,458,655,833,1010,1265,1966,4141,4141
5,100,100.000,256,550,785,830,926,1040,1995,4809,4809
6,100,100.000,279,387,550,897,1027,1295,1748,12293,12293
7,100,100.000,245,360,549,623,917,996,1018,1368,1368
8,100,100.000,305,504,837,781,980,1119,1157,2237,2237
9,100,100.000,200,383,700,820,935,1249,1455,9291,9291
10,100,100.000,233,417,782,715,890,1022,1085,3397,3397
11,100,100.000,282,507,792,758,926,1127,1261,2733,2733
12,100,100.000,241,503,810,752,906,1029,1096,4213,4213
13,100,100.000,225,438,767,760,946,1106,1213,4520,4520
14,100,100.000,213,472,817,874,909,1053,1110,11570,11570
15,100,100.000,254,542,806,892,980,1171,1345,11371,11371
16,100,100.000,273,564,933,961,1100,1392,2089,6926,6926
17,100,100.000,269,563,847,879,1019,1310,1762,2798,2798
18,100,100.000,213,416,680,721,825,1000,1166,5123,5123
19,100,100.000,266,379,475,660,854,1053,1202,3790,3790
20,100,100.000,301,457,841,2011,1242,1796,7833,32928,32928
21,100,100.000,260,378,421,486,496,809,1035,1182,1182
22,100,100.000,235,384,461,505,544,745,847,2089,2089
23,100,100.000,213,372,601,681,818,1049,1103,4058,4058
24,100,100.000,273,415,688,696,851,1108,1226,2129,2129
25,100,100.000,227,558,774,760,841,962,1142,4081,4081
26,100,100.000,198,328,385,501,616,848,940,2382,2382
27,100,100.000,236,487,776,714,827,895,943,4197,4197
28,100,100.000,233,497,796,734,913,1017,1066,3654,3654
29,100,100.000,242,385,757,873,847,927,1066,22324,22324
30,100,100.000,291,497,739,728,825,899,1053,3967,3967
31,100,100.000,231,437,792,998,956,1151,1757,21070,21070
32,100,100.000,191,403,619,612,824,875,951,1296,1296
33,100,100.000,264,423,826,829,1137,1239,1413,2337,2337
34,100,100.000,233,346,433,552,792,919,1013,1546,1546
35,100,100.000,233,405,541,587,788,846,935,1637,1637
36,100,100.000,260,386,672,703,917,1101,1157,2636,2636
37,100,100.000,286,415,755,705,805,856,995,5105,5105
38,100,100.000,248,537,731,3866,845,5720,38136,43401,43401
39,100,100.000,210,508,783,1127,842,1037,1644,25122,25122
40,100,100.000,686,785,824,823,858,893,913,1191,1191
41,100,100.000,477,796,825,825,861,901,921,1021,1021
42,100,100.000,642,782,816,820,852,888,914,1109,1109
43,100,100.000,503,767,820,863,855,932,1081,3969,3969
44,100,100.000,716,794,819,845,870,926,976,1860,1860
45,100,100.000,695,813,835,851,870,893,974,1617,1617
46,100,100.000,258,373,543,615,777,857,1036,4166,4166
47,100,100.000,385,716,795,1200,848,1110,1438,34709,34709
48,100,100.000,673,795,839,883,871,947,1186,3170,3170
49,100,100.000,642,801,825,829,858,888,912,1138,1138
50,100,100.000,530,808,849,981,892,1015,1375,6021,6021
51,100,100.000,316,717,801,744,872,906,927,1026,1026
52,100,100.000,253,734,807,856,1012,1155,1292,2621,2621
53,100,100.000,284,785,895,1666,1092,1721,5656,31633,31633
54,100,100.000,615,786,826,824,865,893,926,1190,1190
55,100,100.000,215,555,779,1717,860,922,1867,41706,41706
56,100,100.000,204,422,773,1539,850,896,2153,39724,39724
57,100,100.000,190,417,670,647,820,924,1007,2104,2104
58,100,100.000,295,741,811,1568,908,1943,6523,21878,21878
59,100,100.000,178,457,768,1677,836,931,1288,45881,45881
