Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,306.800,0.431,0.207,0.288,0.312,0.355,0.522,0.873,2.080,59.260,2.318
5,306.800,0.285,0.192,0.269,0.286,0.298,0.310,0.325,0.420,1.526,3.514
10,304.200,0.291,0.192,0.287,0.293,0.300,0.307,0.312,0.334,1.848,3.438
15,304.600,0.296,0.194,0.285,0.292,0.301,0.307,0.313,0.444,2.552,3.380
20,297.800,0.306,0.199,0.289,0.296,0.305,0.310,0.317,0.564,4.071,3.270
25,290.400,0.296,0.205,0.289,0.297,0.304,0.309,0.313,0.341,1.860,3.378
30,300.800,0.291,0.194,0.285,0.293,0.302,0.308,0.313,0.336,1.750,3.431
35,294.400,0.294,0.199,0.288,0.296,0.305,0.309,0.313,0.340,1.065,3.403
40,306.000,0.340,0.204,0.288,0.296,0.306,0.313,0.344,1.644,8.980,2.939
45,301.800,0.300,0.204,0.291,0.297,0.305,0.310,0.314,0.337,3.996,3.332
50,299.400,0.359,0.203,0.288,0.296,0.305,0.316,0.406,1.922,9.141,2.782
55,298.000,0.300,0.202,0.288,0.295,0.304,0.311,0.316,0.430,7.466,3.334
