Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.200,0.747,0.189,0.368,0.541,0.807,1.011,1.150,6.578,6.578,1.340
5,13.800,0.741,0.245,0.379,0.708,0.917,1.043,1.301,4.228,4.228,1.349
10,18.400,0.764,0.233,0.458,0.791,0.932,1.049,1.239,4.213,4.213,1.309
15,13.000,0.856,0.254,0.515,0.787,0.911,1.133,1.242,6.926,6.926,1.168
20,17.400,0.660,0.245,0.393,0.475,0.776,1.049,1.182,6.652,6.652,1.514
25,14.200,1.012,0.281,0.496,0.757,0.818,0.857,1.000,22.324,22.324,0.988
30,13.400,0.648,0.288,0.392,0.587,0.841,1.115,1.174,1.239,1.239,1.544
35,17.400,1.860,0.210,0.448,0.645,0.804,1.073,1.101,43.401,43.401,0.538
40,12.600,0.836,0.692,0.786,0.815,0.877,0.952,1.021,1.109,1.109,1.197
45,12.000,0.758,0.324,0.739,0.802,0.836,0.889,1.052,1.506,1.506,1.320
50,15.600,0.941,0.253,0.783,0.837,0.892,1.091,1.322,7.914,7.914,1.063
55,14.600,1.916,0.204,0.608,0.792,0.857,0.927,1.943,45.881,45.881,0.522
