Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.000,0.859,0.389,0.674,0.826,0.929,1.025,1.118,4.908,4.908,1.164
5,14.600,0.798,0.270,0.672,0.872,0.927,1.010,1.048,1.701,1.701,1.253
10,15.200,0.936,0.608,0.876,0.901,0.972,1.132,1.301,1.419,1.419,1.068
15,17.200,0.884,0.328,0.795,0.896,0.944,1.084,1.385,1.850,1.850,1.131
20,16.800,0.946,0.577,0.869,0.947,0.997,1.095,1.182,1.945,1.945,1.058
25,18.800,0.896,0.367,0.839,0.916,0.974,1.028,1.147,1.444,1.444,1.116
30,15.400,0.856,0.460,0.795,0.880,0.923,0.978,1.037,1.393,1.393,1.168
35,14.400,0.753,0.259,0.643,0.841,0.899,0.934,0.997,1.343,1.343,1.328
40,15.400,0.864,0.430,0.801,0.870,0.924,0.997,1.220,1.402,1.402,1.158
45,15.200,1.067,0.388,0.816,0.890,1.012,1.140,1.242,14.856,14.856,0.937
50,13.200,0.879,0.333,0.776,0.889,1.118,1.196,1.257,1.480,1.480,1.138
55,14.200,0.854,0.314,0.751,0.889,0.960,1.038,1.164,1.286,1.286,1.172
