Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,22.000,0.793,0.365,0.643,0.835,0.931,1.048,1.104,1.187,2.549,1.261
5,27.200,0.805,0.216,0.796,0.861,0.915,0.997,1.067,1.145,1.682,1.243
10,26.400,0.898,0.355,0.837,0.887,1.011,1.145,1.180,1.278,1.618,1.114
15,26.200,0.908,0.368,0.843,0.897,0.961,1.043,1.124,1.434,3.233,1.102
20,23.400,0.868,0.193,0.820,0.898,0.972,1.058,1.088,1.277,1.672,1.152
25,25.600,0.918,0.247,0.827,0.897,0.955,1.047,1.118,2.064,6.480,1.090
30,23.800,0.888,0.385,0.839,0.896,0.950,0.991,1.033,1.093,1.139,1.127
35,23.600,0.829,0.227,0.818,0.875,0.931,0.999,1.088,1.288,1.402,1.207
40,28.000,0.880,0.251,0.807,0.891,0.983,1.097,1.261,2.206,2.216,1.136
45,27.400,0.770,0.207,0.339,0.499,0.874,0.984,1.638,8.009,8.074,1.299
50,25.400,0.616,0.221,0.336,0.419,0.693,1.174,1.380,4.054,5.293,1.624
55,25.400,0.743,0.236,0.370,0.449,0.904,1.248,1.780,3.897,7.834,1.346
