Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
5,TransactSavings,1774487615.699712,1014,6,1
4,SendPayment,1774487615.709604,1341,3,1
5,TransactSavings,1774487615.720322,1097,5,1
6,WriteCheck,1774487615.729922,926,2,1
2,Balance,1774487615.739608,1110,8,1
1,Amalgamate,1774487615.750321,742,4,1
4,SendPayment,1774487615.758618,1347,1,1
3,DepositChecking,1774487615.770562,723,9,1
4,SendPayment,1774487615.780083,748,0,1
4,SendPayment,1774487615.788580,728,7,1
6,WriteCheck,1774487615.800576,747,11,1
3,DepositChecking,1774487615.810077,918,17,1
3,DepositChecking,1774487615.819854,815,16,1
2,Balance,1774487615.830259,777,10,1
4,SendPayment,1774487615.838575,971,13,1
5,TransactSavings,1774487615.848564,670,15,1
4,SendPayment,1774487615.860556,868,12,1
5,TransactSavings,1774487615.869614,948,18,1
1,Amalgamate,1774487615.878580,1048,14,1
2,Balance,1774487615.890403,483,19,1
4,SendPayment,1774487615.900113,417,6,1
4,SendPayment,1774487615.910185,863,3,1
6,WriteCheck,1774487615.919634,472,5,1
1,Amalgamate,1774487615.929884,875,2,1
2,Balance,1774487615.938499,445,8,1
4,SendPayment,1774487615.948567,352,4,1
2,Balance,1774487615.958607,368,1,1
1,Amalgamate,1774487615.969597,913,9,1
3,DepositChecking,1774487615.979643,899,0,1
6,WriteCheck,1774487615.989610,546,7,1
4,SendPayment,1774487616.000320,748,11,1
6,WriteCheck,1774487616.008613,827,17,1
3,DepositChecking,1774487616.019598,347,16,1
5,TransactSavings,1774487616.028580,849,10,1
2,Balance,1774487616.039612,560,13,1
2,Balance,1774487616.050347,731,15,1
6,WriteCheck,1774487616.060144,457,12,1
4,SendPayment,1774487616.069687,619,18,1
5,TransactSavings,1774487616.080303,788,14,1
5,TransactSavings,1774487616.088595,377,19,1
2,Balance,1774487616.098582,722,6,1
5,TransactSavings,1774487616.110611,300,3,1
6,WriteCheck,1774487616.119601,587,5,1
3,DepositChecking,1774487616.130312,429,2,1
3,DepositChecking,1774487616.138634,408,8,1
6,WriteCheck,1774487616.149650,868,4,1
6,WriteCheck,1774487616.158595,303,1,1
3,DepositChecking,1774487616.169619,446,9,1
6,WriteCheck,1774487616.180315,445,0,1
4,SendPayment,1774487616.190134,453,7,1
4,SendPayment,1774487616.200206,461,11,1
1,Amalgamate,1774487616.210202,502,17,1
