Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.200,1.199,0.497,0.824,1.222,1.449,1.632,1.752,2.589,2.589,0.834
5,14.400,1.896,0.447,0.782,1.266,1.477,1.588,3.063,48.906,48.906,0.527
10,15.200,1.694,0.333,0.500,0.937,1.345,1.471,2.891,25.408,25.408,0.590
15,16.400,1.051,0.298,0.447,1.118,1.240,1.300,1.376,8.651,8.651,0.952
20,11.800,0.908,0.344,0.538,1.013,1.182,1.239,1.332,1.771,1.771,1.101
25,12.400,1.014,0.254,0.408,1.027,1.124,1.227,1.432,10.395,10.395,0.986
30,17.000,1.947,0.350,0.770,1.051,1.157,1.545,6.583,31.711,31.711,0.514
35,17.400,2.745,0.261,0.515,1.063,1.165,1.986,4.655,89.735,89.735,0.364
40,15.600,4.830,0.318,0.871,1.051,1.507,10.902,42.765,57.659,57.659,0.207
45,16.800,2.514,0.325,0.810,1.059,1.147,1.544,2.650,53.530,53.530,0.398
50,14.400,2.254,0.328,0.886,1.045,1.174,1.648,4.595,46.047,46.047,0.444
55,19.400,1.787,0.368,0.838,0.982,1.200,1.544,1.634,41.425,41.425,0.560
