Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,1.532,0.415,0.918,1.227,1.509,1.760,2.015,5.627,48.026,0.653
5,100.000,1.576,0.346,0.733,1.192,1.422,1.620,2.054,24.187,48.906,0.634
10,100.000,1.715,0.298,0.498,1.086,1.351,1.507,2.809,28.908,48.183,0.583
15,100.000,1.269,0.269,0.439,1.027,1.237,1.317,1.376,15.614,39.773,0.788
20,100.000,1.548,0.270,0.501,1.042,1.175,1.248,1.331,32.258,40.396,0.646
25,100.000,1.668,0.254,0.418,1.024,1.151,1.247,1.654,29.679,40.893,0.600
30,100.000,2.337,0.258,0.568,1.042,1.171,3.075,11.899,34.105,51.287,0.428
35,100.000,2.017,0.261,0.568,1.054,1.135,1.302,2.661,38.458,89.735,0.496
40,100.000,3.240,0.276,0.878,1.053,1.364,1.767,18.914,56.785,81.849,0.309
45,100.000,2.737,0.283,0.618,1.014,1.142,1.722,14.624,46.834,58.330,0.365
50,100.000,2.962,0.274,0.853,1.027,1.194,1.633,17.210,59.267,75.188,0.338
55,100.000,2.736,0.334,0.859,0.989,1.221,1.599,13.318,49.408,68.349,0.366
