Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.000,0.749,0.290,0.436,0.533,0.909,1.010,1.154,7.729,7.729,1.335
5,15.400,0.731,0.311,0.432,0.705,0.984,1.105,1.283,1.513,1.513,1.368
10,13.200,1.025,0.356,0.890,0.943,1.018,1.118,1.248,7.776,7.776,0.976
15,15.800,0.975,0.342,0.760,0.934,0.991,1.076,1.273,7.455,7.455,1.025
20,14.800,0.945,0.632,0.904,0.949,0.984,1.053,1.152,1.323,1.323,1.058
25,14.600,1.278,0.241,0.909,0.949,1.012,1.088,1.242,18.853,18.853,0.782
30,15.800,0.888,0.435,0.864,0.911,0.975,1.049,1.057,1.290,1.290,1.126
35,15.600,0.956,0.321,0.899,0.948,1.067,1.183,1.234,1.314,1.314,1.046
40,15.400,0.843,0.286,0.832,0.913,0.976,1.047,1.099,1.312,1.312,1.186
45,14.200,0.900,0.592,0.827,0.904,0.977,1.039,1.095,1.516,1.516,1.111
50,14.800,0.790,0.287,0.602,0.846,0.914,1.006,1.034,3.574,3.574,1.265
55,12.800,0.830,0.277,0.819,0.889,0.951,0.998,1.012,1.373,1.373,1.204
