Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,304,491,575,688,892,1076,1154,1257,2692
1,100,100.000,290,392,448,988,513,773,3265,18356,18356
2,99,99.000,289,456,551,878,838,1544,2680,7960,7960
3,100,100.000,269,419,652,656,891,1029,1074,1455,1455
4,100,100.000,332,510,813,751,951,1012,1048,1151,1151
5,100,100.000,303,410,476,608,829,1009,1171,1629,1629
6,100,100.000,324,414,478,581,643,1074,1284,1774,1774
7,101,101.000,315,465,616,831,913,1042,1093,1258,15623
8,99,99.000,495,936,1113,1133,1251,1365,1453,3142,3142
9,101,101.000,667,893,960,981,1025,1105,1182,1731,1986
10,99,99.000,451,854,954,973,1034,1126,1199,3623,3623
11,100,100.000,611,920,975,996,1033,1128,1248,3636,3636
12,101,101.000,282,481,848,887,1019,1171,1378,3025,7776
13,99,99.000,586,902,956,966,1010,1069,1229,1966,1966
14,100,100.000,438,832,945,919,1021,1131,1260,1303,1303
15,100,100.000,320,910,964,939,1023,1106,1210,2004,2004
16,100,100.000,257,436,878,812,979,1077,1210,7455,7455
17,100,100.000,616,897,966,950,1009,1079,1090,1210,1210
18,100,100.000,323,655,874,810,960,1040,1071,1273,1273
19,100,100.000,578,914,977,1024,1049,1206,1260,4261,4261
20,100,100.000,677,916,966,963,1024,1110,1164,1316,1316
21,100,100.000,695,914,970,977,1039,1120,1157,1259,1259
22,100,100.000,671,922,959,966,1026,1067,1145,2026,2026
23,100,100.000,602,908,959,937,1014,1050,1106,1182,1182
24,100,100.000,709,916,986,1090,1046,1145,1217,10051,10051
25,100,100.000,674,949,1012,1016,1062,1202,1280,1430,1430
26,100,100.000,503,899,977,978,1062,1182,1259,3060,3060
27,100,100.000,696,910,956,964,1011,1091,1168,1380,1380
28,100,100.000,670,910,952,956,1014,1083,1147,1224,1224
29,100,100.000,241,564,911,1453,994,1129,8914,19175,19175
30,100,100.000,567,908,963,948,1011,1064,1086,1290,1290
31,100,100.000,709,888,950,951,1008,1079,1125,1229,1229
32,100,100.000,384,614,902,820,983,1017,1061,1712,1712
33,100,100.000,610,897,941,944,1001,1096,1132,1175,1175
34,100,100.000,618,890,932,931,978,1045,1079,1281,1281
35,100,100.000,614,882,937,934,996,1067,1118,1237,1237
36,100,100.000,680,877,915,934,986,1067,1176,1498,1498
37,100,100.000,651,893,923,918,965,1006,1057,1085,1085
38,100,100.000,285,426,820,868,1093,1170,1237,8580,8580
39,100,100.000,732,1067,1149,1118,1208,1280,1326,1453,1453
40,101,101.000,624,910,949,964,1008,1099,1139,1235,2352
41,99,99.000,256,707,884,861,977,1038,1093,3025,3025
42,101,101.000,256,357,469,646,927,998,1085,1229,4872
43,99,99.000,332,554,877,774,952,1025,1057,1186,1186
44,100,100.000,537,883,929,932,997,1027,1071,2138,2138
45,100,100.000,639,851,907,902,957,1028,1066,1127,1127
46,100,100.000,595,890,934,937,982,1095,1146,1240,1240
47,101,101.000,692,886,942,947,1000,1039,1108,1145,1979
48,99,99.000,573,879,927,927,978,1012,1091,1970,1970
49,101,101.000,591,875,927,1004,990,1167,1263,1516,6874
50,99,99.000,568,867,915,909,965,1011,1048,1283,1283
51,100,100.000,339,799,863,820,923,986,1011,1207,1207
52,100,100.000,238,344,839,685,929,994,1022,1146,1146
53,100,100.000,261,361,570,614,878,947,996,1108,1108
54,101,101.000,361,683,856,868,939,1077,1208,2680,3574
55,99,99.000,525,875,928,945,1000,1139,1207,1581,1581
56,100,100.000,250,354,459,537,687,943,998,1235,1235
57,100,100.000,285,670,855,802,912,1046,1111,2367,2367
58,100,100.000,591,826,895,882,945,1004,1049,1531,1531
59,100,100.000,585,842,898,912,970,1062,1175,2328,2328
