Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,0.774,0.231,0.563,0.820,0.923,1.029,1.099,1.916,2.615,1.291
5,100.000,0.814,0.183,0.800,0.856,0.914,0.980,1.053,1.275,2.188,1.229
10,100.000,0.909,0.262,0.830,0.896,1.039,1.149,1.182,1.452,2.200,1.101
15,100.200,0.927,0.368,0.841,0.897,0.963,1.071,1.163,1.434,9.344,1.079
20,99.800,0.851,0.193,0.811,0.882,0.944,1.033,1.087,1.384,3.089,1.175
25,100.200,0.896,0.247,0.833,0.889,0.957,1.038,1.117,1.246,6.480,1.116
30,100.000,0.915,0.337,0.837,0.895,0.950,1.015,1.065,1.232,9.678,1.093
35,100.000,0.837,0.211,0.798,0.875,0.940,1.002,1.054,1.274,5.601,1.195
40,99.800,0.904,0.251,0.796,0.881,0.965,1.052,1.148,1.687,12.066,1.107
45,100.000,0.758,0.194,0.337,0.510,0.868,1.072,1.733,7.107,14.445,1.318
50,100.000,0.674,0.199,0.341,0.420,0.712,1.184,1.396,5.109,14.458,1.485
55,99.800,0.678,0.194,0.362,0.483,0.886,1.141,1.285,3.127,7.834,1.474
