Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.600,0.861,0.342,0.750,0.914,0.998,1.063,1.124,1.290,1.290,1.162
5,16.200,0.787,0.254,0.620,0.872,0.958,1.058,1.110,1.243,1.243,1.270
10,15.800,0.972,0.646,0.872,0.929,1.001,1.210,1.322,2.305,2.305,1.029
15,14.600,0.886,0.313,0.782,0.905,0.977,1.061,1.358,2.043,2.043,1.129
20,13.200,0.992,0.516,0.895,0.962,1.041,1.198,1.537,2.291,2.291,1.008
25,12.600,0.899,0.345,0.762,0.926,0.998,1.102,1.234,1.658,1.658,1.112
30,14.000,0.924,0.438,0.830,0.920,1.013,1.260,1.379,1.770,1.770,1.082
35,13.400,0.777,0.292,0.621,0.875,0.921,0.989,1.011,1.220,1.220,1.287
40,14.400,0.909,0.394,0.860,0.900,0.970,1.072,1.194,1.763,1.763,1.100
45,14.400,0.952,0.476,0.835,0.930,1.053,1.212,1.357,2.147,2.147,1.051
50,14.600,0.915,0.314,0.828,0.920,1.049,1.208,1.365,2.139,2.139,1.093
55,17.200,0.877,0.340,0.806,0.893,0.947,1.110,1.201,1.849,1.849,1.140
