Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,0.895,0.248,0.628,0.895,1.042,1.183,1.271,3.453,3.453,1.117
5,15.000,0.996,0.349,0.873,0.965,1.080,1.161,1.416,3.240,3.240,1.004
10,15.400,0.997,0.320,0.873,0.953,1.032,1.154,1.299,5.949,5.949,1.003
15,15.600,1.010,0.675,0.934,1.004,1.072,1.154,1.195,2.102,2.102,0.990
20,17.600,1.317,0.452,1.039,1.208,1.377,1.549,1.760,7.440,7.440,0.759
25,14.000,0.948,0.491,0.864,0.968,1.015,1.134,1.213,1.441,1.441,1.054
30,13.000,0.963,0.509,0.928,0.967,1.011,1.083,1.108,1.226,1.226,1.039
35,13.600,0.733,0.263,0.484,0.751,0.935,1.028,1.058,2.153,2.153,1.365
40,15.400,10.571,0.318,0.671,1.166,12.453,35.585,49.112,146.954,146.954,0.095
45,17.200,5.204,0.488,0.815,1.005,2.861,16.869,31.279,49.311,49.311,0.192
50,17.800,1.407,0.337,0.459,0.669,0.969,1.524,3.181,26.974,26.974,0.711
55,11.600,0.809,0.309,0.416,0.510,0.792,1.552,3.148,4.300,4.300,1.236
