Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.400,0.864,0.266,0.398,0.467,0.615,0.959,1.059,24.780,24.780,1.158
5,15.800,1.161,0.300,0.393,0.507,0.900,1.212,6.467,13.142,13.142,0.861
10,13.800,0.632,0.289,0.380,0.450,0.569,0.927,1.172,5.142,5.142,1.582
15,14.600,0.716,0.297,0.424,0.653,0.999,1.066,1.226,1.563,1.563,1.397
20,14.800,0.779,0.341,0.445,0.810,0.961,1.079,1.551,2.503,2.503,1.284
25,15.200,0.673,0.276,0.409,0.485,0.711,0.930,1.178,7.243,7.243,1.486
30,13.800,0.508,0.260,0.386,0.435,0.550,0.813,0.947,1.283,1.283,1.969
35,13.800,0.831,0.308,0.732,0.890,0.951,1.021,1.169,1.556,1.556,1.204
40,14.600,0.960,0.269,0.384,0.558,0.913,1.235,2.231,17.660,17.660,1.041
45,14.400,0.596,0.241,0.360,0.423,0.854,1.097,1.249,1.321,1.321,1.678
50,14.600,0.562,0.276,0.357,0.419,0.730,0.946,1.083,1.766,1.766,1.780
55,15.600,0.848,0.267,0.363,0.484,0.830,1.065,1.640,12.758,12.758,1.179
