Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,0.589,0.251,0.396,0.481,0.834,0.924,1.082,1.617,1.617,1.699
5,15.000,0.720,0.261,0.403,0.490,0.826,0.954,1.094,7.005,7.005,1.388
10,18.200,0.851,0.282,0.417,0.624,0.897,1.040,1.617,14.706,14.706,1.175
15,15.400,0.605,0.283,0.402,0.514,0.742,0.875,1.011,2.252,2.252,1.653
20,15.000,0.625,0.277,0.386,0.571,0.849,0.902,0.961,1.812,1.812,1.601
25,12.400,0.730,0.273,0.389,0.471,0.740,0.928,1.032,6.920,6.920,1.370
30,15.200,0.609,0.269,0.390,0.506,0.810,0.916,0.995,2.222,2.222,1.642
35,15.200,0.723,0.245,0.350,0.400,0.566,0.894,1.012,15.202,15.202,1.382
40,13.800,0.576,0.260,0.360,0.452,0.705,0.858,1.012,2.134,2.134,1.736
45,14.800,1.963,0.381,0.758,0.838,1.095,1.358,2.292,66.662,66.662,0.510
50,15.600,1.306,0.610,0.783,0.845,1.180,1.331,1.762,13.067,13.067,0.766
55,17.200,1.477,0.613,0.753,0.859,1.189,1.360,1.432,33.741,33.741,0.677
