Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.600,0.786,0.246,0.431,0.631,0.971,1.126,1.476,4.685,4.712,1.272
5,27.200,0.838,0.281,0.387,0.642,0.973,1.231,1.800,4.809,9.291,1.193
10,22.800,0.722,0.213,0.406,0.804,0.907,1.106,1.213,1.535,1.614,1.385
15,22.600,0.842,0.257,0.417,0.676,0.939,1.120,1.310,3.790,11.371,1.188
20,22.200,1.474,0.270,0.393,0.532,0.847,1.246,2.342,26.063,32.928,0.678
25,26.200,0.688,0.198,0.365,0.685,0.860,0.955,1.127,3.411,4.081,1.454
30,26.600,0.709,0.233,0.406,0.718,0.836,1.150,1.263,1.757,3.967,1.411
35,23.800,1.470,0.269,0.441,0.626,0.816,0.933,2.367,32.905,39.436,0.680
40,28.200,0.820,0.477,0.787,0.821,0.852,0.891,0.908,0.986,0.996,1.220
45,25.600,0.839,0.317,0.761,0.813,0.856,0.918,1.223,3.170,4.166,1.192
50,24.400,1.079,0.284,0.785,0.850,0.906,1.066,1.281,3.562,22.552,0.927
55,25.200,0.928,0.206,0.503,0.771,0.846,0.931,0.985,5.385,21.878,1.078
