Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.000,1.609,0.449,0.946,1.110,1.579,1.907,2.089,29.145,29.145,0.621
5,14.800,1.109,0.346,0.606,0.956,1.302,1.544,1.684,11.328,11.328,0.902
10,16.600,1.526,0.312,0.539,1.205,1.400,1.539,5.652,13.181,13.181,0.655
15,15.200,1.413,0.292,0.408,0.900,1.226,1.327,1.398,26.818,26.818,0.707
20,12.800,1.464,0.353,0.473,1.047,1.191,1.230,1.237,37.930,37.930,0.683
25,20.000,1.606,0.274,0.408,0.935,1.140,1.207,1.263,40.893,40.893,0.623
30,14.400,2.828,0.258,0.645,1.075,1.217,3.950,19.829,34.469,34.469,0.354
35,16.400,2.009,0.348,0.784,1.054,1.142,1.238,2.394,56.559,56.559,0.498
40,14.200,1.874,0.405,0.952,1.081,1.425,1.751,2.115,37.479,37.479,0.534
45,14.200,2.678,0.319,0.445,0.969,1.081,1.714,11.393,46.834,46.834,0.373
50,13.800,4.509,0.364,0.791,0.988,1.142,9.004,37.230,63.099,63.099,0.222
55,13.200,2.450,0.422,0.929,1.029,1.280,1.635,5.188,43.644,43.644,0.408
